中条 /ns 49	  。/w], [中条/ns, 家/q, 具
梅村 /ns 38	 , 叫/vi, 梅村/ns, 的/ude1
河村 /ns 23	 责人/nnt, 河村/ns, 走/v, 了
涩谷 /ns 12	 , 趟/qv, 涩谷/ns, 。/w], 
美国 /ns 11	 的/ude1, 美国/nsf, 冷酷/a,
贵和 /ns 7	 , [直/d, 贵和/ns, 平常/a, 
房地产公司 /ns 7	 的/ude1, 房地产公司/ns, 的/ude1
街道 /ns 6	 的/ude1, 街道/ns, ，/w], 
千叶 /ns 6	 是/vshi, 千叶/ns, 监狱/nis
东京 /ns 4	 v, 到/v, 东京/nsf, 拘留所/n
上都 /ns 4	  [肩膀/n, 上都/ns, 是/vshi
西葛 /ns 3	 v, 在/p, 西葛/ns, 西/f, 。
上流社会 /ns 3	  了/ule, 上流社会/ns, 呀/y, ，
关西 /ns 3	  夹杂着/v, 关西/ns, 口音/n, 
日本 /ns 3	 是/vshi, 日本/ns, 历史/n, 
纽约 /ns 3	 是/vshi, 纽约/nsf, 的/ude
银座 /ns 2	 , 是从/v, 银座/ns, 一带/n, 
东四 /ns 2	  什么/ry, 东四/ns, 。/w], 
广岛 /ns 2	 , 我/rr, 广岛/ns, 风味/n, 
大理 /ns 2	 , 和/cc, 大理/ns, 石/ng, 
不存在 /ns 2	  。/w], [不存在/ns, 武岛刚志/n
伊势 /ns 1	  东武/nr, 伊势/ns, 崎/ng, 
上香 /ns 1	 , 点/qt, 上香/ns, 表示/v, 
白跑 /ns 1	 , 觉得/v, 白跑/ns, 了/ule,
一堵墙 /ns 1	 , 出/vf, 一堵墙/ns, ，/w], 
旧金山 /ns 1	 , [“/w, 旧金山/nsf, 怎么样/r
非洲 /ns 1	  [正如/v, 非洲/nsf, 一些/m,
横滨 /ns 1	 r, 在/p, 横滨/ns, 约会/vi,
土耳其 /ns 1	 , 去/vf, 土耳其/nsf, 浴室/n,
天都 /ns 1	 , [一/m, 天都/ns, 在/p, 家
从江 /ns 1	  [据说/v, 从江/ns, 户/q, 时
明治神宫 /ns 1	  了/ule, 明治神宫/ns, 。/w], 
一社区 /ns 1	 , 另/rz, 一社区/ns, 的/ude1
印上 /ns 1	 是/vshi, 印上/ns, 直/d, 贵
江东区 /ns 1	  。/w], [江东区/ns, 木场/nz,
九州 /ns 1	 , [从/p, 九州/ns, 来/vf, 
东京都 /ns 1	 d, 在/p, 东京都/nsf, 内/f, 
朝外 /ns 1	 n, 中/f, 朝外/ns, 看/v, 了
不太熟悉 /ns 1	 b, 还/d, 不太熟悉/ns, ，/w], 
即将来临 /ns 1	 , 时间/n, 即将来临/ns, 之时/r, 
镰仓 /ns 1	 , [在/p, 镰仓/ns, 还有/v, 
中都 /ns 1	 , 目光/n, 中都/ns, 闪烁着/i,
台子上 /ns 1	  电视机/n, 台子上/ns, 的/ude1
底朝天 /ns 1	 e, 个/q, 底朝天/ns, ，/w], 
英国 /ns 1	 f, （/w, 英国/ns, 著名/a, 
