刑警 /nn 37	 q, 个/q, 刑警/nnt, 都想/nr
主持人 /nn 30	 , [”/w, 主持人/nnt, 提到/v,
老师 /nn 24	  法语/nz, 老师/nnt, ，/w],
警察 /nn 16	  [程序/n, 警察/nnt], [爷爷/
总编 /nn 16	 d, 像/v, 总编/nnt, 说/v, 
课长 /nn 16	 m, 课/n, 课长/nnt, 等/ude
司机 /nn 16	  [每天/r, 司机/nnt, 接送/v,
女作家 /nn 13	 人偶/n], [女作家/nnd], [杀意/
老板 /nn 12	 的/ude1, 老板/nnt, 。/w],
工作人员 /nn 12	 [”/w], [工作人员/nnt, 拿着/vf
学者 /nn 11	  [准许/v, 学者/nnt, 将/d, 
医生 /nn 10	 的/ude1, 医生/nnt, 详细/a,
编辑 /nn 10	 [川岛/nz, 编辑/nnt, 现在/t,
社长 /nn 10	 的/ude1, 社长/nnt, 、/w, 
助理 /nn 9	 是/vshi, 助理/nnt, 主持/v,
侦探 /nn 9	 1, 名/q, 侦探/nnd, ，/w],
主角 /nn 6	 , 动画/n, 主角/nnt, 模样/n,
董事 /nn 6	 t, 、/w, 董事/nnt, 、/w, 
作者 /nn 5	 , 由于/p, 作者/nnt, 妊娠/vi
明星 /nn 5	  演艺圈/n, 明星/nnd, 才/d, 
职员 /nn 5	 是/vshi, 职员/nnt, 暂时/d,
制造商 /nn 5	 w, 问/v, 制造商/nnd, 恐怕/d,
作家 /nn 5	 偶/n], [女作家/nnd], [杀意/
司仪 /nn 5	 v, 由/p, 司仪/nnt, 在/p, 
侦察员 /nn 4	  [接着/c, 侦察员/nnt, 赶到/v,
女警 /nn 4	 , 身穿/v, 女警/nnt, 制服/n,
部长 /nn 4	 安部/nto, 部长/nnt, ）/w, 
议员 /nn 3	  某/rz, 参议员/nnt, 的/ude
代表 /nn 3	  日本/ns, 代表/nnt, 不甘示弱/
学生 /nn 3	 , [从/p, 学生/nnt, 时代/n,
负责人 /nn 3	 是/vshi, 负责人/nnt, ，/w],
大夫 /nn 3	 , [“/w, 大夫/nnt, ，/w],
钢琴家 /nn 3	 , 成为/v, 钢琴家/nnt, ，/w],
秘书 /nn 3	 a, 男/b, 秘书/nnt, 也/d, 
长官 /nn 3	 , 最高/a, 长官/nnt, ，/w],
教师 /nn 3	 /ule, 家庭教师/nnt, ，/w],
生物学家 /nn 3	 美国/nsf, 生物学家/nnd, 。/w],
女佣 /nn 2	 , 还有/v, 女佣/nnd, 全盘/d,
歌手 /nn 2	 i, 由/p, 歌手/nnt, 用/p, 
科长 /nn 2	  设计/vn, 科长/nnt, 。/w],
教授 /nn 2	  真锅/nr, 教授/nnt, ！/w],
侦查员 /nn 2	  ，/w], [侦查员/nnt, 会/v, 
副驾驶 /nn 2	 的/ude1, 副驾驶/nnt, 座/q, 
证人 /nn 2	  这个/rz, 证人/nnt, 果然/d,
主播 /nn 2	 , 新闻/n, 主播/nnt, 也/d, 
警官 /nn 2	 的/ude1, 警官/nnt, 们/k, 
店主 /nn 2	  ，/w], [店主/nnd, 似乎/d,
清洁工 /nn 2	 , 盯着/v, 清洁工/nnt, 作业/vn
女演员 /nn 2	 e, 眼/n, 女演员/nnd, 的/ude
